Oct 19 2023 05:30AM,Datamatics Global Services Ltd,DATAMATICS,0-3000000,0-25,50-75,Oct 12 2023 05:30AM,TrianglePatternWithHA
Oct 19 2023 05:30AM,Kaveri Seed Company Ltd,KSCL,0-3000000,0-25,50-75,Sep 26 2023 05:30AM,TrianglePatternWithHAPDCB
Oct 19 2023 05:30AM,India Pesticides Ltd,IPL,3000000-8000000,25-50,50-75,Oct 11 2023 05:30AM,TrianglePatternWithHAPDCB
Oct 20 2023 05:30AM,Maharashtra Scooters Ltd,MAHSCOOTER,0-3000000,25-50,50-75,Sep 26 2023 05:30AM,RsaTrendTrianglePatternWithHAPDCB
Oct 20 2023 05:30AM,ICICI Securities Ltd,ISEC,0-3000000,25-50,50-75,Sep 18 2023 05:30AM,RsaTrendTrianglePatternWithHAPDCBPP
Oct 20 2023 05:30AM,Summit Securities Ltd,SUMMITSEC,0-3000000,25-50,50-75,Oct 04 2023 05:30AM,RsaTrendTrianglePatternWithHAPDCB
Oct 20 2023 05:30AM,Rane (Madras) Ltd,RML,0-3000000,25-50,50-75,Oct 03 2023 05:30AM,RsaTrendTrianglePatternWithHA
Oct 20 2023 05:30AM,MTAR Technologies Ltd,MTARTECH,0-3000000,0-25,50-75,Oct 06 2023 05:30AM,RsaTrendTrianglePatternWithHA
Oct 23 2023 05:30AM,ICICI Lombard General Insurance Company Ltd,ICICIGI,0-3000000,0-25,50-75,Sep 20 2023 05:30AM,TrianglePatternWithHA
Oct 23 2023 05:30AM,ICICI Lombard General Insurance Company Ltd,ICICIGI,0-3000000,0-25,50-75,Sep 20 2023 05:30AM,TrianglePatternWithHA
Oct 25 2023 05:30AM,Unichem Laboratories Ltd,UNICHEMLAB,0-3000000,0-25,50-75,Sep 22 2023 05:30AM,RsaTrendTrianglePatternWithHAPDCB
Oct 25 2023 05:30AM,Aster DM Healthcare Ltd,ASTERDM,0-3000000,25-50,50-75,Oct 16 2023 05:30AM,TrianglePatternWithHAPDCBPP
Oct 27 2023 05:30AM,Sonata Software Ltd,SONATSOFTW,0-3000000,0-25,50-75,Sep 11 2023 05:30AM,SuperTrendTrianglePatternWithHAPP
Oct 27 2023 05:30AM,Persistent Systems Ltd,PERSISTENT,0-3000000,0-25,50-75,Sep 27 2023 05:30AM,RsaTrendTrianglePatternWithHAPDCB
Oct 27 2023 05:30AM,Action Construction Equipment Ltd,ACE,0-3000000,0-25,50-75,Sep 18 2023 05:30AM,TrianglePatternWithHAPDCB
Oct 27 2023 05:30AM,Spandana Sphoorty Financial Ltd,SPANDANA,0-3000000,0-25,50-75,Oct 12 2023 05:30AM,TrianglePatternWithHAPDCBPP
Oct 30 2023 05:30AM,Mangalam Cement Ltd,MANGLMCEM,0-3000000,0-25,50-75,Oct 13 2023 05:30AM,TrianglePatternWithHA
Oct 30 2023 05:30AM,Linc Ltd,LINC,0-3000000,0-25,50-75,Oct 19 2023 05:30AM,TrianglePatternWithHA
Oct 30 2023 05:30AM,Godrej Properties Ltd,GODREJPROP,0-3000000,0-25,50-75,Sep 26 2023 05:30AM,TrianglePatternWithHA
Oct 30 2023 05:30AM,Satin Creditcare Network Ltd,SATIN,0-3000000,0-25,50-75,Oct 20 2023 05:30AM,TrianglePatternWithHAPP
Oct 30 2023 05:30AM,Uttam Sugar Mills Ltd,UTTAMSUGAR,0-3000000,25-50,50-75,Oct 20 2023 05:30AM,TrianglePatternWithHA
Oct 30 2023 05:30AM,Greenlam Industries Ltd,GREENLAM,0-3000000,25-50,50-75,Sep 29 2023 05:30AM,SuperTrendSuperTrendEWMTrianglePatternWithHAPDCB
Oct 30 2023 05:30AM,Rategain Travel Technologies Ltd,RATEGAIN,0-3000000,0-25,50-75,Oct 20 2023 05:30AM,TrianglePatternWithHA
Oct 31 2023 05:30AM,JK Lakshmi Cement Ltd,JKLAKSHMI,0-3000000,0-25,50-75,Oct 18 2023 05:30AM,TrianglePatternWithHAPP
Oct 31 2023 05:30AM,Central Depository Services (India) Ltd,CDSL,3000000-8000000,25-50,50-75,Oct 16 2023 05:30AM,TrianglePatternWithHAPDCB
Oct 31 2023 05:30AM,Datamatics Global Services Ltd,DATAMATICS,0-3000000,0-25,50-75,Oct 20 2023 05:30AM,TrianglePatternWithHA
Oct 31 2023 05:30AM,Tube Investments of India Ltd,TIINDIA,0-3000000,0-25,50-75,Aug 07 2023 05:30AM,SuperTrendRsaTrendTrianglePatternWithHAPDCB
Oct 31 2023 05:30AM,KPIT Technologies Ltd,KPITTECH,0-3000000,0-25,50-75,Sep 15 2023 05:30AM,TrianglePatternWithHAPDCBPP
Oct 31 2023 05:30AM,Embassy Office Parks REIT,EMBASSY,0-3000000,0-25,50-75,Oct 18 2023 05:30AM,TrianglePatternWithHA
Nov 01 2023 05:30AM,Elecon Engineering Company Ltd,ELECON,0-3000000,0-25,50-75,Oct 16 2023 05:30AM,SuperTrendSuperTrendEWMTrianglePatternWithHAPP
Nov 01 2023 05:30AM,Patanjali Foods Ltd,PATANJALI,0-3000000,0-25,50-75,Oct 16 2023 05:30AM,TrianglePatternWithHA
Nov 01 2023 05:30AM,Sanghvi Movers Ltd,SANGHVIMOV,0-3000000,0-25,50-75,Oct 09 2023 05:30AM,TrianglePatternWithHAPP
Nov 01 2023 05:30AM,DLF Ltd,DLF,3000000-8000000,25-50,50-75,Oct 17 2023 05:30AM,TrianglePatternWithHAPDCB
