BAJAJHLDNG,Bajaj Holdings &amp; Investment Ltd,0MA100VS50,1,0,10000,9990.436722983743,-9.563277016257416
BAJAJHLDNG,Bajaj Holdings &amp; Investment Ltd,0MA200VS100,1,0,10000,10004.899268079042,4.899268079041576
BAJAJHLDNG,Bajaj Holdings &amp; Investment Ltd,1MA200VS100,2,0,20000,20007.483028934283,7.483028934282629
BAJAJHLDNG,Bajaj Holdings &amp; Investment Ltd,1MA50VS20,2,0,20000,20003.250869047577,3.250869047576998
BAJAJHLDNG,Bajaj Holdings &amp; Investment Ltd,1MA100VS50,2,0,20000,20023.407215229858,23.407215229857684
BAJAJHLDNG,Bajaj Holdings &amp; Investment Ltd,2MA50VS20,3,0,30000,29873.748874901088,-126.25112509891187
BAJAJHLDNG,Bajaj Holdings &amp; Investment Ltd,2MA100VS50,1,0,10000,9959.774436090225,-40.22556390977479
BAJAJHLDNG,Bajaj Holdings &amp; Investment Ltd,3MA100VS50,1,0,10000,10108.661417322835,108.6614173228354
BAJAJHLDNG,Bajaj Holdings &amp; Investment Ltd,3MA200VS100,1,0,10000,9993.976810721277,-6.023189278723294
BAJAJELEC,Bajaj Electricals Ltd,0MA50VS20,2,0,20000,19942.66641850354,-57.333581496459374
BAJAJELEC,Bajaj Electricals Ltd,0MA100VS50,1,0,10000,10100.867027212636,100.86702721263646
BAJAJELEC,Bajaj Electricals Ltd,0MA200VS100,1,0,10000,10002.14878164081,2.1487816408098297
BAJAJELEC,Bajaj Electricals Ltd,1MA50VS20,2,0,20000,19858.509424067393,-141.4905759326066
BAJAJELEC,Bajaj Electricals Ltd,1MA100VS50,2,0,20000,19959.383199153046,-40.61680084695399
BAJAJELEC,Bajaj Electricals Ltd,1MA200VS100,1,0,10000,9974.89254861909,-25.10745138091079
BAJAJELEC,Bajaj Electricals Ltd,2MA50VS20,3,0,30000,30059.86243118233,59.8624311823296
BAJAJELEC,Bajaj Electricals Ltd,2MA100VS50,2,0,20000,20015.169887209224,15.169887209223816
BAJAJELEC,Bajaj Electricals Ltd,2MA200VS100,1,0,10000,9919.407536484427,-80.5924635155734
FORCEMOT,Force Motors Ltd,0MA50VS20,3,0,30000,29920.194190098737,-79.80580990126327
FORCEMOT,Force Motors Ltd,0MA100VS50,1,0,10000,9989.534666417492,-10.46533358250781
FORCEMOT,Force Motors Ltd,0MA200VS100,1,0,10000,9957.93783733482,-42.06216266517913
FORCEMOT,Force Motors Ltd,1MA200VS100,3,1,30000,30154.637882177878,154.63788217787805
